record_id,timestamp,publication_time,retrieval_time,source,provider,document_type,entity,ticker,sector,country,title,text,url,language,raw_metadata,provider_validation_errors,provider_record_valid,quarter,query
rbi_mpc_20220210,2022-02-10 00:00:00+00:00,2022-02-10 00:00:00+00:00,2026-06-21 00:07:08.771720+00:00,Reserve Bank of India,rbi,mpc_minutes,Reserve Bank of India,,central_bank,IN,Synthetic MPC Minutes February 2022,"Synthetic research fixture — not an RBI quotation.

Members noted that inflationary pressure remained elevated and upside risks could persist. Price stability was considered necessary for durable growth. The committee stated that policy will remain data dependent as external conditions evolve. Some members observed that earlier supply disruptions had increased uncertainty.",nan,en,"{""document_id"": ""rbi_mpc_20220210"", ""document_type"": ""mpc_minutes"", ""language"": ""en"", ""local_path"": ""sample_mpc_minutes_20220210.txt"", ""publication_time"": ""2022-02-10 00:00:00"", ""record_kind"": ""local"", ""source_kind"": ""local_fixture"", ""text"": ""Synthetic research fixture — not an RBI quotation.\n\nMembers noted that inflationary pressure remained elevated and upside risks could persist. Price stability was considered necessary for durable growth. The committee stated that policy will remain data dependent as external conditions evolve. Some members observed that earlier supply disruptions had increased uncertainty."", ""title"": ""Synthetic MPC Minutes February 2022"", ""url"": NaN}",missing url,False,,
rbi_policy_20220805,2022-08-05 00:00:00+00:00,2022-08-05 00:00:00+00:00,2026-06-21 00:07:08.771720+00:00,Reserve Bank of India,rbi,monetary_policy_statement,Reserve Bank of India,,central_bank,IN,Synthetic Monetary Policy Statement August 2022,"Synthetic research fixture — not an RBI quotation.

The committee observed that disinflation was becoming visible while domestic demand remained uneven. Liquidity support may be calibrated to support growth without weakening price stability. Going forward, the policy stance will respond to the inflation outlook and incoming data. The current balance of risks was assessed as broadly neutral.",nan,en,"{""document_id"": ""rbi_policy_20220805"", ""document_type"": ""monetary_policy_statement"", ""language"": ""en"", ""local_path"": ""sample_policy_statement_20220805.txt"", ""publication_time"": ""2022-08-05 00:00:00"", ""record_kind"": ""local"", ""source_kind"": ""local_fixture"", ""text"": ""Synthetic research fixture — not an RBI quotation.\n\nThe committee observed that disinflation was becoming visible while domestic demand remained uneven. Liquidity support may be calibrated to support growth without weakening price stability. Going forward, the policy stance will respond to the inflation outlook and incoming data. The current balance of risks was assessed as broadly neutral."", ""title"": ""Synthetic Monetary Policy Statement August 2022"", ""url"": NaN}",missing url,False,,
rbi_mpc_20240405,2024-04-05 00:00:00+00:00,2024-04-05 00:00:00+00:00,2026-06-21 00:07:08.771720+00:00,Reserve Bank of India,rbi,mpc_minutes,Reserve Bank of India,,central_bank,IN,Synthetic MPC Minutes April 2024,"Synthetic research fixture — not an RBI quotation.

Persistent inflation and renewed upside risk were judged to require vigilance. Members agreed that withdrawal of accommodation remains necessary until price stability is secured. The future path could change if food-price uncertainty broadens. Earlier easing expectations had declined as inflation increased.",nan,en,"{""document_id"": ""rbi_mpc_20240405"", ""document_type"": ""mpc_minutes"", ""language"": ""en"", ""local_path"": ""sample_mpc_minutes_20240405.txt"", ""publication_time"": ""2024-04-05 00:00:00"", ""record_kind"": ""local"", ""source_kind"": ""local_fixture"", ""text"": ""Synthetic research fixture — not an RBI quotation.\n\nPersistent inflation and renewed upside risk were judged to require vigilance. Members agreed that withdrawal of accommodation remains necessary until price stability is secured. The future path could change if food-price uncertainty broadens. Earlier easing expectations had declined as inflation increased."", ""title"": ""Synthetic MPC Minutes April 2024"", ""url"": NaN}",missing url,False,,
rbi_policy_20260501,2026-05-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,2026-06-21 00:07:08.771720+00:00,Reserve Bank of India,rbi,monetary_policy_statement,Reserve Bank of India,,central_bank,IN,Synthetic Monetary Policy Statement May 2026,"Synthetic research fixture — not an RBI quotation.

Benign inflation and weaker demand created room for calibrated easing. The committee stated that liquidity support will help support growth while preserving stability. The outlook is expected to improve, although external uncertainty may remain. Current policy is accommodative and future action will be data dependent.",nan,en,"{""document_id"": ""rbi_policy_20260501"", ""document_type"": ""monetary_policy_statement"", ""language"": ""en"", ""local_path"": ""sample_policy_statement_20260501.txt"", ""publication_time"": ""2026-05-01 00:00:00"", ""record_kind"": ""local"", ""source_kind"": ""local_fixture"", ""text"": ""Synthetic research fixture — not an RBI quotation.\n\nBenign inflation and weaker demand created room for calibrated easing. The committee stated that liquidity support will help support growth while preserving stability. The outlook is expected to improve, although external uncertainty may remain. Current policy is accommodative and future action will be data dependent."", ""title"": ""Synthetic Monetary Policy Statement May 2026"", ""url"": NaN}",missing url,False,,
sample_bank_q4_2024,2024-05-08 00:00:00+00:00,2024-05-08 00:00:00+00:00,2026-06-21 00:00:00+00:00,Sample Bank Ltd,earnings_calls,earnings_call,Sample Bank Ltd,SAMPLEBANK.NS,Financials,IN,Sample Bank Q4 FY2024 earnings call,"Management expects credit growth to remain stable, but funding costs may stay elevated over the coming quarters. Asset quality remains resilient. The outlook is uncertain because external liquidity conditions could tighten.",https://example.com/sample-bank-q4-2024,en,"{""company"": ""Sample Bank Ltd"", ""document_id"": ""sample_bank_q4_2024"", ""language"": ""en"", ""local_path"": ""sample_bank_q4_2024.txt"", ""notes"": ""Synthetic fixture for offline pipeline tests only."", ""publication_date"": ""2024-05-08"", ""quarter"": ""Q4 FY2024"", ""retrieval_date"": ""2026-06-21"", ""sector"": ""Financials"", ""source_url"": ""https://example.com/sample-bank-q4-2024"", ""text"": ""Management expects credit growth to remain stable, but funding costs may stay elevated over the coming quarters. Asset quality remains resilient. The outlook is uncertain because external liquidity conditions could tighten."", ""ticker"": ""SAMPLEBANK.NS"", ""title"": ""Sample Bank Q4 FY2024 earnings call""}",,True,Q4 FY2024,
sample_energy_q2_2025,2025-10-20 00:00:00+00:00,2025-10-20 00:00:00+00:00,2026-06-21 00:00:00+00:00,Sample Energy Ltd,earnings_calls,earnings_call,Sample Energy Ltd,SAMPLEENERGY.NS,Energy,IN,Sample Energy Q2 FY2025 earnings call,"Management expects demand growth and operating recovery to continue. Supply chain disruption and geopolitical tensions could raise input costs, although liquidity remains adequate.",https://example.com/sample-energy-q2-2025,en,"{""company"": ""Sample Energy Ltd"", ""document_id"": ""sample_energy_q2_2025"", ""language"": ""en"", ""local_path"": ""sample_energy_q2_2025.txt"", ""notes"": ""Synthetic fixture for offline pipeline tests only."", ""publication_date"": ""2025-10-20"", ""quarter"": ""Q2 FY2025"", ""retrieval_date"": ""2026-06-21"", ""sector"": ""Energy"", ""source_url"": ""https://example.com/sample-energy-q2-2025"", ""text"": ""Management expects demand growth and operating recovery to continue. Supply chain disruption and geopolitical tensions could raise input costs, although liquidity remains adequate."", ""ticker"": ""SAMPLEENERGY.NS"", ""title"": ""Sample Energy Q2 FY2025 earnings call""}",,True,Q2 FY2025,
07b91c260592a17bdbc00bcc,2024-04-05 08:30:00+00:00,2024-04-05 08:30:00+00:00,2026-06-21 00:07:08.798553+00:00,example.com,gdelt,financial_news,,,,India,India inflation outlook faces renewed upside risk,Analysts expect food inflation and oil price shock risks to remain elevated.,https://example.com/india-inflation-outlook-2024,English,"{""domain"": ""example.com"", ""language"": ""English"", ""query"": ""India inflation"", ""seendate"": ""20240405T083000Z"", ""sourcecountry"": ""India"", ""text"": ""Analysts expect food inflation and oil price shock risks to remain elevated."", ""title"": ""India inflation outlook faces renewed upside risk"", ""url"": ""https://example.com/india-inflation-outlook-2024""}",,True,,India inflation
a1347d10f2714e58d816fd46,2024-09-18 10:15:00+00:00,2024-09-18 10:15:00+00:00,2026-06-21 00:07:08.798553+00:00,example.com,gdelt,financial_news,,,,India,Banking liquidity may tighten as external headwinds build,Funding conditions could tighten and banking stress risks remain uncertain.,https://example.com/banking-liquidity-2024,English,"{""domain"": ""example.com"", ""language"": ""English"", ""query"": ""India inflation"", ""seendate"": ""20240918T101500Z"", ""sourcecountry"": ""India"", ""text"": ""Funding conditions could tighten and banking stress risks remain uncertain."", ""title"": ""Banking liquidity may tighten as external headwinds build"", ""url"": ""https://example.com/banking-liquidity-2024""}",,True,,India inflation
9c108cef06a0e3fa9b72c504,2025-03-11 07:00:00+00:00,2025-03-11 07:00:00+00:00,2026-06-21 00:07:08.798553+00:00,example.com,gdelt,financial_news,,,,India,Supply chain disruption threatens regional growth outlook,War escalation and supply chain disruption may weaken demand.,https://example.com/supply-chain-2025,English,"{""domain"": ""example.com"", ""language"": ""English"", ""query"": ""India inflation"", ""seendate"": ""20250311T070000Z"", ""sourcecountry"": ""India"", ""text"": ""War escalation and supply chain disruption may weaken demand."", ""title"": ""Supply chain disruption threatens regional growth outlook"", ""url"": ""https://example.com/supply-chain-2025""}",,True,,India inflation
9fd6f8f03330bc3cc5fd070c,2025-08-07 11:00:00+00:00,2025-08-07 11:00:00+00:00,2026-06-21 00:07:08.798553+00:00,example.com,gdelt,financial_news,,,,India,Nifty dropped after policy announcement,Shares rallied after an initial selloff and volatility spiked.,https://example.com/market-reaction-2025,English,"{""domain"": ""example.com"", ""language"": ""English"", ""query"": ""India inflation"", ""seendate"": ""20250807T110000Z"", ""sourcecountry"": ""India"", ""text"": ""Shares rallied after an initial selloff and volatility spiked."", ""title"": ""Nifty dropped after policy announcement"", ""url"": ""https://example.com/market-reaction-2025""}",,True,,India inflation
